序号,平台,文章地址(本站点路由),解读师,"官网链接(读者主页,待生成深层链接用)",affiliateSlug(回填时对照用),深层链接(你在联盟后台生成后填这里)
1,Kasamba,/reviews/kasamba/cosmic-fusion-kasamba-review/,Cosmic Fusion,https://www.kasamba.com/psychic/cosmic-fusion/,kasamba-cosmic-fusion,https://bargestech.go2cloud.org/aff_c?offer_id=191&aff_id=2326&url=https%3A%2F%2Fwww.kasamba.com%2Fpsychic%2Fcosmic-fusion%2F%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
2,Kasamba,/reviews/kasamba/david-james-kasamba-review/,David James,https://www.kasamba.com/psychic/david-james-psychic-wisdom/,kasamba-david-james,https://bargestech.go2cloud.org/aff_c?offer_id=191&aff_id=2326&url=https%3A%2F%2Fwww.kasamba.com%2Fpsychic%2Fdavid-james-psychic-wisdom%2F%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
3,Kasamba,/reviews/kasamba/golden-eye-kasamba-review/,Golden Eye,https://www.kasamba.com/psychic/golden-eye/,kasamba-golden-eye,https://bargestech.go2cloud.org/aff_c?offer_id=191&aff_id=2326&url=https%3A%2F%2Fwww.kasamba.com%2Fpsychic%2Fgolden-eye%2F%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
4,Kasamba,/reviews/kasamba/immense-spark-n-au-kasamba-review/,Immense Spark,https://www.kasamba.com/psychic/immense-spark-n-aura/,kasamba-immense-spark,https://bargestech.go2cloud.org/aff_c?offer_id=191&aff_id=2326&url=https%3A%2F%2Fwww.kasamba.com%2Fpsychic%2Fimmense-spark-n-aura%2F%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
5,Kasamba,/reviews/kasamba/love-stefans-psychic-soul-kasamba-review/,Love Stefan,https://www.kasamba.com/psychic/love-stefans-psychic-soul/,kasamba-stefan,https://bargestech.go2cloud.org/aff_c?offer_id=191&aff_id=2326&url=https%3A%2F%2Fwww.kasamba.com%2Fpsychic%2Flove-stefans-psychic-soul%2F%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
6,Kasamba,/reviews/kasamba/master-enigma-kasamba-review/,Master Enigma,https://www.kasamba.com/psychic/master-enigma/,kasamba-master-enigma,https://bargestech.go2cloud.org/aff_c?offer_id=191&aff_id=2326&url=https%3A%2F%2Fwww.kasamba.com%2Fpsychic%2Fmaster-enigma%2F%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
7,Kasamba,/reviews/kasamba/psychic-safina-kasamba-review/,Psychic Safina,https://www.kasamba.com/psychic/psychic-safina/,kasamba-safina,https://bargestech.go2cloud.org/aff_c?offer_id=191&aff_id=2326&url=https%3A%2F%2Fwww.kasamba.com%2Fpsychic%2Fpsychic-safina%2F%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
8,Kasamba,/reviews/kasamba/psychic-yazmin-kasamba-review/,Psychic Yazmin,https://www.kasamba.com/psychic/psychic-yazmin/,kasamba-yazmin,https://bargestech.go2cloud.org/aff_c?offer_id=191&aff_id=2326&url=https%3A%2F%2Fwww.kasamba.com%2Fpsychic%2Fpsychic-yazmin%2F%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
9,Kasamba,/reviews/kasamba/sweet-spirit-of-love-kasamba-review/,Sweet Spirit of Love,https://www.kasamba.com/psychic/sweet-spirit-of-love/,kasamba-sweet-spirit-of-love,https://bargestech.go2cloud.org/aff_c?offer_id=191&aff_id=2326&url=https%3A%2F%2Fwww.kasamba.com%2Fpsychic%2Fsweet-spirit-of-love%2F%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
10,Kasamba,/reviews/kasamba/wisdom-and-love-kasamba-review/,Wisdom and Love,https://www.kasamba.com/psychic/wisdom-and-love/,kasamba-wisdom-and-love,https://bargestech.go2cloud.org/aff_c?offer_id=191&aff_id=2326&url=https%3A%2F%2Fwww.kasamba.com%2Fpsychic%2Fwisdom-and-love%2F%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
11,Purple Garden,/reviews/purple-garden/advisor-vanessa/,Advisor Vanessa,https://www.purplegarden.co/psychics/1645-advisor-vanessa,purple-garden-advisor-vanessa,https://bargestech.go2cloud.org/aff_c?offer_id=30&aff_id=2326&url=https%3A%2F%2Fwww.purplegarden.co%2Fpsychics%2F1645-advisor-vanessa%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
12,Purple Garden,/reviews/purple-garden/mystic-mark/,Mystic Mark,https://www.purplegarden.co/psychics/10497-mystic-mark,purple-garden-mystic-mark,https://bargestech.go2cloud.org/aff_c?offer_id=30&aff_id=2326&url=https%3A%2F%2Fwww.purplegarden.co%2Fpsychics%2F10497-mystic-mark%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
13,Purple Garden,/reviews/purple-garden/namrata/,Namrata,https://www.purplegarden.co/psychics/1879-namrata,purple-garden-namrata,https://bargestech.go2cloud.org/aff_c?offer_id=30&aff_id=2326&url=https%3A%2F%2Fwww.purplegarden.co%2Fpsychics%2F1879-namrata%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
14,Purple Garden,/reviews/purple-garden/nicholas-knight/,Nicholas Knight,https://www.purplegarden.co/psychics/2646-nicholas-knight,purple-garden-nicholas-knight,https://bargestech.go2cloud.org/aff_c?offer_id=30&aff_id=2326&url=https%3A%2F%2Fwww.purplegarden.co%2Fpsychics%2F2646-nicholas-knight%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
15,Purple Garden,/reviews/purple-garden/nick/,Nick,https://www.purplegarden.co/psychics/11738-nick,purple-garden-nick,https://bargestech.go2cloud.org/aff_c?offer_id=30&aff_id=2326&url=https%3A%2F%2Fwww.purplegarden.co%2Fpsychics%2F11738-nick%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
16,Purple Garden,/reviews/purple-garden/niki-medium/,Niki Medium,https://www.purplegarden.co/psychics/4512-niki-medium,purple-garden-niki-medium,https://bargestech.go2cloud.org/aff_c?offer_id=30&aff_id=2326&url=https%3A%2F%2Fwww.purplegarden.co%2Fpsychics%2F4512-niki-medium%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
17,Purple Garden,/reviews/purple-garden/plutoniandust/,PlutonianDust,https://www.purplegarden.co/psychics/8218-plutoniandust,purple-garden-plutoniandust,https://bargestech.go2cloud.org/aff_c?offer_id=30&aff_id=2326&url=https%3A%2F%2Fwww.purplegarden.co%2Fpsychics%2F8218-plutoniandust%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
