序号,平台,文章地址(本站点路由),解读师,"官网链接(读者主页,待生成深层链接用)",affiliateSlug(回填时对照用),深层链接(你在联盟后台生成后填这里)
1,Kasamba,/reviews/kasamba/cosmic-fusion-kasamba-review/,Cosmic Fusion,https://www.kasamba.com/psychic/cosmic-fusion/,kasamba-cosmic-fusion,https://bargestech.go2cloud.org/aff_c?offer_id=191&aff_id=2326&url=https%3A%2F%2Fwww.kasamba.com%2Fpsychic%2Fcosmic-fusion%2F%3Fclickid%3D{transaction_id}%26utm_content%3Dsubid2%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}
2,Kasamba,/reviews/kasamba/david-james-kasamba-review/,David James,https://www.kasamba.com/psychic/david-james-psychic-wisdom/,kasamba-david-james,
3,Kasamba,/reviews/kasamba/golden-eye-kasamba-review/,Golden Eye,https://www.kasamba.com/psychic/golden-eye/,kasamba-golden-eye,
4,Kasamba,/reviews/kasamba/immense-spark-n-au-kasamba-review/,Immense Spark,https://www.kasamba.com/psychic/immense-spark-n-aura/,kasamba-immense-spark,
5,Kasamba,/reviews/kasamba/love-stefans-psychic-soul-kasamba-review/,Love Stefan,https://www.kasamba.com/psychic/love-stefans-psychic-soul/,kasamba-stefan,
6,Kasamba,/reviews/kasamba/master-enigma-kasamba-review/,Master Enigma,https://www.kasamba.com/psychic/master-enigma/,kasamba-master-enigma,
7,Kasamba,/reviews/kasamba/psychic-safina-kasamba-review/,Psychic Safina,https://www.kasamba.com/psychic/psychic-safina/,kasamba-safina,
8,Kasamba,/reviews/kasamba/psychic-yazmin-kasamba-review/,Psychic Yazmin,https://www.kasamba.com/psychic/psychic-yazmin/,kasamba-yazmin,
9,Kasamba,/reviews/kasamba/sweet-spirit-of-love-kasamba-review/,Sweet Spirit of Love,https://www.kasamba.com/psychic/sweet-spirit-of-love/,kasamba-sweet-spirit-of-love,
10,Kasamba,/reviews/kasamba/wisdom-and-love-kasamba-review/,Wisdom and Love,https://www.kasamba.com/psychic/wisdom-and-love/,kasamba-wisdom-and-love,
11,Purple Garden,/reviews/purple-garden/advisor-vanessa/,Advisor Vanessa,https://www.purplegarden.co/psychics/1645-advisor-vanessa,purple-garden-advisor-vanessa,
12,Purple Garden,/reviews/purple-garden/mystic-mark/,Mystic Mark,https://www.purplegarden.co/psychics/10497-mystic-mark,purple-garden-mystic-mark,
13,Purple Garden,/reviews/purple-garden/namrata/,Namrata,https://www.purplegarden.co/psychics/1879-namrata,purple-garden-namrata,
14,Purple Garden,/reviews/purple-garden/nicholas-knight/,Nicholas Knight,https://www.purplegarden.co/psychics/2646-nicholas-knight,purple-garden-nicholas-knight,
15,Purple Garden,/reviews/purple-garden/nick/,Nick,https://www.purplegarden.co/psychics/11738-nick,purple-garden-nick,
16,Purple Garden,/reviews/purple-garden/niki-medium/,Niki Medium,https://www.purplegarden.co/psychics/4512-niki-medium,purple-garden-niki-medium,
17,Purple Garden,/reviews/purple-garden/plutoniandust/,PlutonianDust,https://www.purplegarden.co/psychics/8218-plutoniandust,purple-garden-plutoniandust,
18,Purple Garden,/reviews/purple-garden/psychic-jeanne/,Psychic Jeanne,https://www.purplegarden.co/psychics/1130-psychicjeanne,purple-garden-psychic-jeanne,
19,Purple Garden,/reviews/purple-garden/quantum-drew/,Quantum Drew,https://www.purplegarden.co/psychics/2876-quantumdrew,purple-garden-quantum-drew,
20,Purple Garden,/reviews/purple-garden/tarot-instincts/,Tarot Instincts,https://www.purplegarden.co/psychics/7512-tarot-instincts,purple-garden-tarot-instincts,
21,Purple Garden,/reviews/purple-garden/truthful-love/,Truthful Love,https://www.purplegarden.co/psychics/24002-truthful-love,purple-garden-truthful-love,
