platform,reader,profile_url,specialty,popularity_tier,readings_count,rating,tune_offer,deep_linkable,confidence,notes
Psiquicos Web,Rous Quesada,https://www.psiquicos.net/asesores/rous-quesada-experta-en-amor-relaciones,Amor/Relaciones,Tendencias,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Jamila,https://www.psiquicos.net/asesores/jamila-experto-en-lectura-de-mano,Lectura de mano,Tendencias,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Laskmi Yeniree,https://www.psiquicos.net/asesores/laskmi-yeniree-experto-en-asesoramiento-carrera,Asesoramiento carrera,Tendencias,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Lukote,https://www.psiquicos.net/asesores/lukote-leitores-de-taro-especialista,Tarot,Mas populares,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Luz Espiritual (Luisina Parra),https://www.psiquicos.net/asesores/luisina-parra-experto-en-qigong,Qigong,Mas populares,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Kalho Tarot,https://www.psiquicos.net/asesores/kalho-tarot,Tarot,Mas populares,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Violeta Videncia,https://www.psiquicos.net/asesores/violeta-experta-en-asesoramiento-carrera,Asesoramiento carrera,Mas populares,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Sol Mistica,https://www.psiquicos.net/asesores/sol-mistica,General,Mas populares / Mejor calificados,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Tarotisabell,https://www.psiquicos.net/asesores/tarotisabell-experto-en-lectura-psiquica,Lectura psiquica,Mas populares / Recomendado,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Veronica Casado,https://www.psiquicos.net/asesores/veronica-casado-experto-en-lectura-psiquica,Lectura psiquica,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Amatista,https://www.psiquicos.net/asesores/amatista-experto-en-desarrollo-personal,Desarrollo personal,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Carlota,https://www.psiquicos.net/asesores/carlota-experto-en-lectura-psiquica,Lectura psiquica,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Marcela,https://www.psiquicos.net/asesores/marcela-experto-en-lectores-de-tarot,Tarot,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Calipso Amor,https://www.psiquicos.net/asesores/calipso-amor-experto-en-desarrollo-personal,Desarrollo personal,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Abel.,https://www.psiquicos.net/asesores/abel,General,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Romina,https://www.psiquicos.net/asesores/romina-experto-en-lectura-psiquica,Lectura psiquica,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Moira,https://www.psiquicos.net/asesores/moira-experto-en-desarrollo-personal,Desarrollo personal,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Marisol,https://www.psiquicos.net/asesores/marisol-experto-en-desarrollo-personal,Desarrollo personal,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Lada,https://www.psiquicos.net/asesores/lada-experto-en-lectores-de-tarot,Tarot,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Isadora,https://www.psiquicos.net/asesores/isadora-experto-en-desarrollo-personal,Desarrollo personal,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Alizon,https://www.psiquicos.net/asesores/alizon-experto-en-amor-relaciones,Amor/Relaciones,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Sacerdotisa Astral,https://www.psiquicos.net/asesores/sarcedotisa-astral,General,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Marcel Oraculo,https://www.psiquicos.net/asesores/marcel-oraculo-experto-en-horoscopos,Horoscopos,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Claridad con Abi,https://www.psiquicos.net/asesores/claridad-con-abi,General,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Psiquicos Web,Sendero de luz,https://www.psiquicos.net/asesores/sendero-de-luz-experto-en-asesoramiento-relaciones,Asesoramiento relaciones,Todos los asesores,,,,N,N,High (URL from live site),No TUNE offer - editorial only
Purple Garden,Luna Aestethic,https://www.purplegarden.co/psychics/4921-luna-aestethic,ES reader (per site),,,,,30,Y,High (confirmed PG profile),UNIQUE deep-linkable ES reader - offer 30
Purple Ocean,Jupiter (Jpiter),https://www.purpleocean.co/psychics/8463-jpiter,Clairvoyant/Love Expert,Trending,37166,,N,N,Medium (Purple Ocean, no PG offer),Spanish native (Colombia) but on Purple Ocean - no TUNE offer
Purple Ocean,Luz Tarot,https://www.purpleocean.co/psychics/7046-luz-tarot,Tarot,Trending,,,N,N,Medium (Purple Ocean, no PG offer),Spanish reader on Purple Ocean - no TUNE offer
